TradingDate,VIC,YEG
2014-09-12,23833.0,
2014-09-15,23403.0,
2014-09-16,23403.0,
2014-09-17,23403.0,
2014-09-18,23403.0,
2014-09-19,23403.0,
2014-09-22,23403.0,
2014-09-23,24048.0,
2014-09-24,23833.0,
2014-09-25,22330.0,
2014-09-26,22115.0,
2014-09-29,20827.0,
2014-09-30,20612.0,
2014-10-01,21256.0,
2014-10-02,21042.0,
2014-10-03,21471.0,
2014-10-06,21900.0,
2014-10-07,21686.0,
2014-10-08,21428.0,
2014-10-09,20999.0,
2014-10-10,20870.0,
2014-10-13,20956.0,
2014-10-14,20655.0,
2014-10-15,20483.0,
2014-10-16,19968.0,
2014-10-17,19882.0,
2014-10-20,20183.0,
2014-10-21,20999.0,
2014-10-22,20612.0,
2014-10-23,20312.0,
2014-10-24,20483.0,
2014-10-27,20140.0,
2014-10-28,20097.0,
2014-10-29,20483.0,
2014-10-30,20440.0,
2014-10-31,20612.0,
2014-11-03,21127.0,
2014-11-04,20827.0,
2014-11-05,20827.0,
2014-11-06,20655.0,
2014-11-07,20741.0,
2014-11-10,20913.0,
2014-11-11,20870.0,
2014-11-12,20956.0,
2014-11-13,20956.0,
2014-11-14,21213.0,
2014-11-17,21299.0,
2014-11-18,20827.0,
2014-11-19,20784.0,
2014-11-20,20698.0,
2014-11-21,20612.0,
2014-11-24,20612.0,
2014-11-25,21170.0,
2014-11-26,20784.0,
2014-11-27,20698.0,
2014-11-28,20741.0,
2014-12-01,20870.0,
2014-12-02,20827.0,
2014-12-03,20741.0,
2014-12-04,20784.0,
2014-12-05,20913.0,
2014-12-08,20999.0,
2014-12-09,20526.0,
2014-12-10,20913.0,
2014-12-11,20698.0,
2014-12-12,20698.0,
2014-12-15,20655.0,
2014-12-16,20183.0,
2014-12-17,19324.0,
2014-12-18,20226.0,
2014-12-19,20183.0,
2014-12-22,20183.0,
2014-12-23,19968.0,
2014-12-24,20054.0,
2014-12-25,19710.0,
2014-12-26,20011.0,
2014-12-29,20140.0,
2014-12-30,20397.0,
2014-12-31,20483.0,
2015-01-05,20440.0,
2015-01-06,20526.0,
2015-01-07,20483.0,
2015-01-08,20612.0,
2015-01-09,20526.0,
2015-01-12,20312.0,
2015-01-13,20226.0,
2015-01-14,20226.0,
2015-01-15,20354.0,
2015-01-16,20312.0,
2015-01-19,20312.0,
2015-01-20,20226.0,
2015-01-21,20226.0,
2015-01-22,20226.0,
2015-01-23,20612.0,
2015-01-26,20698.0,
2015-01-27,20612.0,
2015-01-28,20440.0,
2015-01-29,20440.0,
